"Date","Price","Open","High","Low","Vol.","Change %"
"06/15/2026","1,116.00","1,116.00","1,116.00","1,116.00","","-0.18%"
"06/12/2026","1,118.00","1,118.00","1,118.00","1,118.00","","-0.93%"
"06/11/2026","1,128.50","1,128.50","1,128.50","1,128.50","","0.11%"
"06/10/2026","1,127.25","1,127.25","1,127.25","1,127.25","","0.11%"
"06/09/2026","1,126.00","1,126.00","1,126.00","1,126.00","","-0.62%"
"06/08/2026","1,133.00","1,133.00","1,133.00","1,133.00","","-0.33%"
"06/05/2026","1,136.75","1,136.75","1,136.75","1,136.75","","-1.28%"
"06/04/2026","1,151.50","1,151.50","1,151.50","1,151.50","","-2.31%"
"06/03/2026","1,178.75","1,178.75","1,178.75","1,178.75","0.48K","2.70%"
"06/02/2026","1,147.75","1,147.75","1,147.75","1,147.75","","0.00%"
"06/01/2026","1,147.75","1,147.75","1,147.75","1,147.75","","0.28%"
"05/29/2026","1,144.50","1,144.50","1,144.50","1,144.50","","0.00%"
"05/28/2026","1,144.50","1,144.50","1,144.50","1,144.50","","0.07%"
"05/27/2026","1,143.75","1,143.75","1,143.75","1,143.75","","0.00%"
"05/26/2026","1,143.75","1,143.75","1,143.75","1,143.75","","0.02%"
"05/22/2026","1,143.50","1,143.50","1,143.50","1,143.50","","0.20%"
"05/21/2026","1,141.25","1,141.25","1,141.25","1,141.25","","-0.76%"
"05/20/2026","1,150.00","1,150.00","1,150.00","1,150.00","","-0.39%"
"05/19/2026","1,154.50","1,154.50","1,154.50","1,154.50","","0.87%"
"05/18/2026","1,144.50","1,144.50","1,144.50","1,144.50","","0.62%"
"05/15/2026","1,137.50","1,137.50","1,137.50","1,137.50","","0.13%"
"05/14/2026","1,136.00","1,136.00","1,136.00","1,136.00","","-0.59%"
"05/13/2026","1,142.75","1,142.75","1,142.75","1,142.75","","-0.61%"
"05/12/2026","1,149.75","1,149.75","1,149.75","1,149.75","","-0.58%"
"05/11/2026","1,156.50","1,156.50","1,156.50","1,156.50","","0.06%"
"05/08/2026","1,155.75","1,155.75","1,155.75","1,155.75","","-0.73%"
"05/07/2026","1,164.25","1,164.25","1,164.25","1,164.25","","0.15%"
"05/06/2026","1,162.50","1,162.50","1,162.50","1,162.50","","-2.19%"
