date,open,high,low,close,volume
2015-01-02,2265.0,2325.0,2265.0,2315.0,1600.0
2015-01-05,2303.0,2320.0,2293.0,2298.0,270.0
2015-01-06,2320.0,2333.0,2305.0,2309.0,590.0
2015-01-07,2320.0,2348.0,2317.0,2349.0,550.0
2015-01-08,2370.0,2380.0,2370.0,2384.0,170.0
2015-01-09,2359.0,2359.0,2359.0,2359.0,
2015-01-12,2360.0,2400.0,2300.0,2375.0,20.0
2015-01-13,2350.0,2380.0,2349.0,2375.0,30.0
2015-01-14,2361.0,2361.0,2361.0,2361.0,
2015-01-15,2373.0,2373.0,2373.0,2373.0,
2015-01-16,2385.0,2390.0,2335.0,2348.0,340.0
2015-01-19,2360.0,2361.0,2333.0,2342.0,290.0
2015-01-20,2345.0,2358.0,2335.0,2337.0,530.0
2015-01-21,2345.0,2350.0,2290.0,2291.0,190.0
2015-01-22,2280.0,2290.0,2272.0,2272.0,190.0
2015-01-23,2255.0,2270.0,2251.0,2264.0,170.0
2015-01-26,2254.0,2254.0,2200.0,2200.0,570.0
2015-01-27,2182.0,2192.0,2173.0,2188.0,530.0
2015-01-28,2181.0,2221.0,2180.0,2221.0,270.0
2015-01-29,2165.0,2180.0,2152.0,2147.0,250.0
2015-01-30,2117.0,2144.0,2117.0,2154.0,250.0
2015-02-04,2178.0,2184.0,2159.0,2193.0,380.0
2015-02-05,2220.0,2260.0,2220.0,2300.0,70.0
2015-02-06,2320.0,2320.0,2305.0,2330.0,370.0
2015-02-09,2313.0,2314.0,2305.0,2294.0,290.0
2015-02-10,2300.0,2305.0,2300.0,2278.0,20.0
2015-02-11,2290.0,2290.0,2262.0,2255.0,50.0
2015-02-12,2249.0,2275.0,2249.0,2265.0,40.0
2015-02-13,2265.0,2265.0,2265.0,2265.0,
2015-02-16,2301.0,2313.0,2297.0,2305.0,1390.0
2015-02-17,2300.0,2302.0,2284.0,2286.0,410.0
2015-02-18,2288.0,2304.0,2288.0,2302.0,250.0
2015-02-23,2255.0,2255.0,2237.0,2247.0,370.0
2015-02-24,2235.0,2275.0,2230.0,2273.0,970.0
2015-02-25,2289.0,2289.0,2256.0,2258.0,460.0
2015-02-26,2266.0,2295.0,2266.0,2292.0,920.0
2015-02-27,2282.0,2330.0,2282.0,2321.0,1350.0
2015-03-02,2355.0,2381.0,2355.0,2381.0,220.0
2015-03-03,2355.0,2395.0,2349.0,2389.0,50.0
2015-03-04,2400.0,2410.0,2400.0,2378.0,50.0
2015-03-05,2360.0,2387.0,2360.0,2350.0,140.0
2015-03-06,2335.0,2335.0,2260.0,2312.0,470.0
2015-03-09,2274.0,2348.0,2274.0,2280.0,10.0
2015-03-10,2300.0,2300.0,2230.0,2240.0,120.0
2015-03-11,2249.0,2277.0,2249.0,2286.0,10.0
2015-03-12,2248.0,2248.0,2248.0,2248.0,
2015-03-13,2270.0,2250.0,2270.0,2270.0,
2015-03-16,2227.0,2231.0,2181.0,2209.0,1590.0
2015-03-17,2209.0,2219.0,2148.0,2149.0,430.0
2015-03-18,2151.0,2197.0,2143.0,2195.0,1070.0
2015-03-19,2211.0,2212.0,2180.0,2210.0,420.0
2015-03-20,2200.0,2207.0,2165.0,2168.0,280.0
2015-03-23,2198.0,2210.0,2173.0,2188.0,280.0
2015-03-24,2195.0,2195.0,2150.0,2165.0,390.0
2015-03-25,2175.0,2175.0,2159.0,2160.0,230.0
2015-03-26,2170.0,2189.0,2164.0,2174.0,320.0
2015-03-27,2184.0,2184.0,2160.0,2151.0,50.0
2015-03-30,2155.0,2158.0,2078.0,2156.0,340.0
2015-03-31,2132.0,2169.0,2132.0,2136.0,260.0
2015-04-01,2142.0,2142.0,2142.0,2142.0,
2015-04-02,2154.0,2153.0,2154.0,2154.0,
2015-04-03,2210.0,2210.0,2195.0,2178.0,40.0
2015-04-06,2215.0,2240.0,2214.0,2223.0,60.0
2015-04-07,2194.0,2194.0,2194.0,2194.0,
2015-04-08,2160.0,2160.0,2160.0,2153.0,30.0
2015-04-09,2108.0,2108.0,2150.0,2108.0,
2015-04-10,2150.0,2150.0,2150.0,2120.0,0.0
2015-04-13,2124.0,2124.0,2124.0,2124.0,
2015-04-14,2148.0,2148.0,2148.0,2148.0,
2015-04-15,2150.0,2150.0,2150.0,2150.0,
2015-04-16,2192.0,2195.0,2167.0,2173.0,480.0
2015-04-17,2160.0,2191.0,2158.0,2184.0,720.0
2015-04-20,2201.0,2205.0,2185.0,2190.0,400.0
2015-04-21,2200.0,2225.0,2198.0,2203.0,690.0
2015-04-22,2208.0,2208.0,2166.0,2179.0,1260.0
2015-04-23,2170.0,2176.0,2161.0,2174.0,680.0
2015-04-24,2184.0,2184.0,2157.0,2166.0,800.0
2015-04-27,2166.0,2166.0,2120.0,2121.0,420.0
2015-04-28,2089.0,2120.0,2089.0,2098.0,280.0
2015-04-29,2095.0,2095.0,2055.0,2078.0,300.0
2015-04-30,2062.0,2080.0,2058.0,2070.0,70.0
2015-05-05,2135.0,2136.0,2120.0,2136.0,90.0
2015-05-06,2130.0,2170.0,2130.0,2166.0,130.0
2015-05-07,2153.0,2163.0,2152.0,2156.0,90.0
2015-05-08,2134.0,2140.0,2130.0,2146.0,40.0
2015-05-11,2178.0,2161.0,2178.0,2178.0,10.0
2015-05-12,2206.0,2201.0,2206.0,2206.0,
2015-05-13,2220.0,2220.0,2220.0,2190.0,0.0
2015-05-14,2199.0,2199.0,2199.0,2199.0,10.0
2015-05-15,2199.0,2199.0,2199.0,2199.0,
2015-05-18,2180.0,2195.0,2177.0,2189.0,1670.0
2015-05-19,2175.0,2180.0,2165.0,2166.0,1570.0
2015-05-20,2140.0,2155.0,2140.0,2150.0,480.0
2015-05-21,2146.0,2157.0,2137.0,2154.0,870.0
2015-05-22,2147.0,2147.0,2125.0,2132.0,400.0
2015-05-25,2129.0,2142.0,2126.0,2137.0,280.0
2015-05-26,2160.0,2168.0,2160.0,2167.0,50.0
2015-05-27,2180.0,2180.0,2141.0,2145.0,420.0
2015-05-28,2155.0,2175.0,2153.0,2170.0,250.0
2015-05-29,2179.0,2180.0,2160.0,2170.0,60.0
2015-06-01,2200.0,2271.0,2200.0,2270.0,490.0
2015-06-02,2299.0,2310.0,2299.0,2291.0,40.0
2015-06-03,2267.0,2267.0,2267.0,2267.0,
2015-06-04,2293.0,2288.0,2293.0,2293.0,
2015-06-05,2320.0,2310.0,2320.0,2320.0,
2015-06-08,2320.0,2320.0,2320.0,2320.0,
2015-06-09,2300.0,2323.0,2300.0,2305.0,10.0
2015-06-10,2291.0,2291.0,2280.0,2279.0,10.0
2015-06-11,2275.0,2284.0,2275.0,2275.0,
2015-06-12,2260.0,2260.0,2260.0,2254.0,0.0
2015-06-15,2254.0,2254.0,2254.0,2254.0,
2015-06-16,2262.0,2290.0,2249.0,2289.0,970.0
2015-06-17,2286.0,2297.0,2277.0,2288.0,280.0
2015-06-18,2265.0,2265.0,2228.0,2230.0,490.0
2015-06-19,2240.0,2250.0,2222.0,2232.0,630.0
2015-06-22,2242.0,2242.0,2204.0,2205.0,540.0
2015-06-23,2220.0,2220.0,2205.0,2210.0,750.0
2015-06-24,2227.0,2263.0,2215.0,2258.0,690.0
2015-06-25,2262.0,2265.0,2258.0,2259.0,30.0
2015-06-26,2269.0,2279.0,2254.0,2278.0,220.0
2015-06-29,2288.0,2291.0,2270.0,2278.0,90.0
2015-06-30,2249.0,2249.0,2220.0,2224.0,80.0
2015-07-01,2262.0,2227.0,2262.0,2262.0,
2015-07-02,2260.0,2260.0,2260.0,2259.0,60.0
2015-07-03,2263.0,2263.0,2263.0,2263.0,50.0
2015-07-06,2234.0,2234.0,2234.0,2228.0,100.0
2015-07-07,2230.0,2230.0,2181.0,2200.0,260.0
2015-07-08,2144.0,2144.0,2149.0,2144.0,
2015-07-09,2187.0,2187.0,2187.0,2182.0,0.0
2015-07-10,2190.0,2190.0,2190.0,2190.0,
2015-07-13,2179.0,2179.0,2179.0,2192.0,0.0
2015-07-14,2198.0,2198.0,2198.0,2198.0,
2015-07-15,2198.0,2198.0,2198.0,2198.0,
2015-07-16,2190.0,2196.0,2188.0,2189.0,210.0
2015-07-20,2173.0,2187.0,2167.0,2187.0,960.0
2015-07-21,2197.0,2220.0,2186.0,2217.0,490.0
2015-07-22,2206.0,2212.0,2195.0,2205.0,240.0
2015-07-23,2186.0,2194.0,2186.0,2190.0,30.0
2015-07-24,2174.0,2183.0,2174.0,2180.0,60.0
2015-07-27,2152.0,2160.0,2145.0,2145.0,340.0
2015-07-28,2151.0,2155.0,2125.0,2138.0,470.0
2015-07-29,2146.0,2146.0,2107.0,2119.0,430.0
2015-07-30,2109.0,2124.0,2096.0,2124.0,40.0
2015-07-31,2110.0,2125.0,2110.0,2120.0,20.0
2015-08-03,2094.0,2095.0,2056.0,2056.0,400.0
2015-08-04,2040.0,2057.0,2039.0,2055.0,130.0
2015-08-05,2057.0,2070.0,2030.0,2033.0,10.0
2015-08-06,2011.0,2028.0,2010.0,2035.0,140.0
2015-08-07,2033.0,2033.0,2001.0,2031.0,0.0
2015-08-10,2050.0,2055.0,2013.0,2010.0,140.0
2015-08-11,2000.0,2000.0,2000.0,2017.0,10.0
2015-08-12,1970.0,1970.0,1970.0,1970.0,
2015-08-13,1986.0,1986.0,1986.0,1986.0,
2015-08-14,1986.0,1986.0,1986.0,1986.0,
2015-08-17,2003.0,2004.0,1986.0,1999.0,500.0
2015-08-18,1995.0,2005.0,1986.0,1998.0,690.0
2015-08-19,1969.0,1973.0,1960.0,1971.0,480.0
2015-08-20,1935.0,1950.0,1919.0,1936.0,520.0
2015-08-21,1937.0,1940.0,1901.0,1913.0,840.0
2015-08-24,1892.0,1901.0,1831.0,1844.0,290.0
2015-08-25,1850.0,1870.0,1811.0,1829.0,280.0
2015-08-26,1831.0,1839.0,1800.0,1800.0,190.0
2015-08-27,1808.0,1869.0,1808.0,1868.0,260.0
2015-08-28,1876.0,1928.0,1875.0,1928.0,20.0
2015-09-01,1915.0,1915.0,1915.0,1945.0,10.0
2015-09-02,1917.0,1927.0,1917.0,1923.0,60.0
2015-09-03,1933.0,1951.0,1931.0,1959.0,30.0
2015-09-04,1950.0,1960.0,1933.0,1955.0,140.0
2015-09-07,1955.0,1955.0,1955.0,1955.0,
2015-09-08,1960.0,1991.0,1960.0,1994.0,310.0
2015-09-09,2005.0,2015.0,2005.0,2012.0,110.0
2015-09-10,2027.0,2050.0,2025.0,2056.0,20.0
2015-09-11,2000.0,2000.0,2000.0,2032.0,0.0
2015-09-14,2081.0,2081.0,2081.0,2081.0,
2015-09-15,2050.0,2050.0,2050.0,2050.0,30.0
2015-09-17,2095.0,2095.0,2050.0,2054.0,390.0
2015-09-18,2045.0,2063.0,2018.0,2034.0,320.0
2015-09-21,2065.0,2090.0,2059.0,2086.0,130.0
2015-09-22,2094.0,2120.0,2093.0,2116.0,240.0
2015-09-23,2125.0,2170.0,2120.0,2157.0,310.0
2015-09-25,2200.0,2259.0,2200.0,2259.0,190.0
2015-09-28,2257.0,2325.0,2255.0,2323.0,180.0
2015-09-29,2323.0,2395.0,2323.0,2395.0,290.0
2015-09-30,2373.0,2373.0,2330.0,2306.0,110.0
2015-10-01,2280.0,2310.0,2280.0,2344.0,90.0
2015-10-02,2358.0,2370.0,2357.0,2319.0,40.0
2015-10-05,2360.0,2394.0,2354.0,2365.0,140.0
2015-10-06,2385.0,2386.0,2385.0,2320.0,40.0
2015-10-07,2257.0,2280.0,2251.0,2271.0,60.0
2015-10-08,2224.0,2228.0,2212.0,2223.0,160.0
2015-10-09,2176.0,2176.0,2176.0,2168.0,10.0
2015-10-12,2210.0,2210.0,2210.0,2209.0,0.0
2015-10-13,2269.0,2269.0,2269.0,2269.0,
2015-10-15,2269.0,2269.0,2269.0,2269.0,
2015-10-16,2245.0,2267.0,2232.0,2235.0,480.0
2015-10-19,2248.0,2250.0,2206.0,2210.0,940.0
2015-10-20,2217.0,2265.0,2217.0,2262.0,360.0
2015-10-21,2295.0,2297.0,2283.0,2294.0,270.0
2015-10-22,2295.0,2303.0,2274.0,2296.0,190.0
2015-10-23,2260.0,2266.0,2239.0,2251.0,520.0
2015-10-26,2236.0,2237.0,2201.0,2208.0,280.0
2015-10-27,2199.0,2247.0,2195.0,2243.0,360.0
2015-10-28,2237.0,2252.0,2230.0,2251.0,400.0
2015-10-29,2269.0,2269.0,2220.0,2253.0,490.0
2015-10-30,2248.0,2250.0,2202.0,2238.0,200.0
2015-11-02,2241.0,2241.0,2230.0,2230.0,60.0
2015-11-03,2210.0,2210.0,2210.0,2208.0,50.0
2015-11-04,2221.0,2240.0,2218.0,2245.0,90.0
2015-11-05,2259.0,2259.0,2259.0,2224.0,10.0
2015-11-06,2225.0,2225.0,2220.0,2188.0,0.0
2015-11-09,2218.0,2227.0,2218.0,2235.0,10.0
2015-11-11,2225.0,2227.0,2225.0,2181.0,0.0
2015-11-12,2203.0,2208.0,2203.0,2180.0,10.0
2015-11-13,2100.0,2100.0,2100.0,2100.0,
2015-11-16,2167.0,2180.0,2121.0,2132.0,990.0
2015-11-17,2129.0,2151.0,2114.0,2132.0,990.0
2015-11-18,2115.0,2170.0,2113.0,2168.0,1110.0
2015-11-19,2140.0,2145.0,2125.0,2140.0,1020.0
2015-11-20,2130.0,2164.0,2125.0,2159.0,1880.0
2015-11-23,2145.0,2158.0,2139.0,2143.0,270.0
2015-11-24,2136.0,2155.0,2125.0,2128.0,870.0
2015-11-25,2114.0,2119.0,2086.0,2093.0,570.0
2015-11-26,2110.0,2136.0,2105.0,2135.0,370.0
2015-11-27,2105.0,2160.0,2105.0,2159.0,150.0
2015-11-30,2153.0,2160.0,2135.0,2140.0,250.0
2015-12-01,2145.0,2145.0,2145.0,2145.0,10.0
2015-12-02,2140.0,2140.0,2140.0,2140.0,
2015-12-03,2180.0,2191.0,2180.0,2186.0,60.0
2015-12-04,2195.0,2196.0,2190.0,2189.0,20.0
2015-12-07,2217.0,2217.0,2206.0,2254.0,100.0
2015-12-08,2200.0,2200.0,2190.0,2200.0,10.0
2015-12-09,2180.0,2180.0,2180.0,2180.0,10.0
2015-12-10,2154.0,2155.0,2154.0,2160.0,30.0
2015-12-11,2250.0,2250.0,2250.0,2222.0,10.0
2015-12-14,2220.0,2220.0,2220.0,2186.0,10.0
2015-12-15,2186.0,2186.0,2186.0,2186.0,
2015-12-16,2231.0,2256.0,2200.0,2224.0,600.0
2015-12-17,2194.0,2216.0,2190.0,2214.0,200.0
2015-12-18,2200.0,2244.0,2196.0,2236.0,240.0
2015-12-21,2250.0,2280.0,2250.0,2272.0,170.0
2015-12-22,2274.0,2290.0,2270.0,2290.0,700.0
