date,open,high,low,close,volume
2015-01-02,2245.0,2285.0,2237.0,2283.0,20869.0
2015-01-05,2283.0,2297.0,2262.0,2264.0,19631.0
2015-01-06,2275.0,2310.0,2272.0,2284.0,27581.0
2015-01-07,2290.0,2335.0,2290.0,2330.0,28665.0
2015-01-08,2335.0,2379.0,2331.0,2369.0,21112.0
2015-01-09,2372.0,2383.0,2341.0,2348.0,23140.0
2015-01-12,2353.0,2372.0,2328.0,2363.0,25606.0
2015-01-13,2326.0,2375.0,2324.0,2353.0,31287.0
2015-01-14,2342.0,2354.0,2328.0,2344.0,28216.0
2015-01-15,2359.0,2394.0,2356.0,2368.0,23811.0
2015-01-16,2351.0,2354.0,2298.0,2312.0,37268.0
2015-01-19,2326.0,2336.0,2302.0,2309.0,17460.0
2015-01-20,2302.0,2346.0,2297.0,2320.0,25981.0
2015-01-21,2332.0,2338.0,2270.0,2273.0,32011.0
2015-01-22,2278.0,2282.0,2242.0,2246.0,23447.0
2015-01-23,2234.0,2244.0,2222.0,2230.0,24880.0
2015-01-26,2212.0,2222.0,2170.0,2172.0,26233.0
2015-01-27,2171.0,2182.0,2151.0,2178.0,23648.0
2015-01-28,2164.0,2216.0,2164.0,2210.0,27417.0
2015-01-29,2180.0,2182.0,2128.0,2134.0,33396.0
2015-01-30,2118.0,2148.0,2106.0,2146.0,31536.0
2015-02-04,2184.0,2200.0,2156.0,2199.0,30449.0
2015-02-05,2197.0,2315.0,2197.0,2312.0,43664.0
2015-02-06,2324.0,2352.0,2287.0,2346.0,35649.0
2015-02-09,2346.0,2357.0,2307.0,2317.0,30522.0
2015-02-10,2335.0,2344.0,2294.0,2299.0,27329.0
2015-02-11,2296.0,2314.0,2270.0,2278.0,25182.0
2015-02-12,2297.0,2304.0,2271.0,2294.0,22282.0
2015-02-13,2311.0,2312.0,2276.0,2285.0,22662.0
2015-02-16,2299.0,2321.0,2299.0,2312.0,19775.0
2015-02-17,2315.0,2315.0,2284.0,2286.0,13963.0
2015-02-18,2290.0,2312.0,2289.0,2300.0,5751.0
2015-02-23,2290.0,2291.0,2237.0,2239.0,22484.0
2015-02-24,2229.0,2259.0,2216.0,2257.0,24434.0
2015-02-25,2255.0,2276.0,2242.0,2248.0,32882.0
2015-02-26,2260.0,2284.0,2256.0,2276.0,25537.0
2015-02-27,2278.0,2321.0,2277.0,2305.0,27578.0
2015-03-02,2341.0,2379.0,2335.0,2373.0,27548.0
2015-03-03,2356.0,2382.0,2328.0,2378.0,28277.0
2015-03-04,2394.0,2400.0,2354.0,2364.0,24045.0
2015-03-05,2343.0,2364.0,2320.0,2324.0,26720.0
2015-03-06,2304.0,2307.0,2257.0,2288.0,28604.0
2015-03-09,2296.0,2312.0,2253.0,2271.0,34821.0
2015-03-10,2271.0,2276.0,2221.0,2237.0,28834.0
2015-03-11,2244.0,2280.0,2237.0,2276.0,24259.0
2015-03-12,2268.0,2271.0,2234.0,2243.0,23793.0
2015-03-13,2227.0,2251.0,2227.0,2248.0,18190.0
2015-03-16,2214.0,2215.0,2172.0,2198.0,22775.0
2015-03-17,2205.0,2210.0,2138.0,2140.0,25037.0
2015-03-18,2140.0,2194.0,2128.0,2193.0,30471.0
2015-03-19,2215.0,2222.0,2165.0,2205.0,28870.0
2015-03-20,2205.0,2211.0,2155.0,2160.0,25089.0
2015-03-23,2186.0,2208.0,2173.0,2186.0,22095.0
2015-03-24,2187.0,2192.0,2148.0,2156.0,27701.0
2015-03-25,2159.0,2172.0,2145.0,2167.0,20931.0
2015-03-26,2166.0,2204.0,2166.0,2192.0,25481.0
2015-03-27,2183.0,2183.0,2148.0,2169.0,25367.0
2015-03-30,2148.0,2196.0,2143.0,2191.0,22632.0
2015-03-31,2177.0,2182.0,2156.0,2165.0,20284.0
2015-04-01,2175.0,2180.0,2148.0,2154.0,17119.0
2015-04-02,2160.0,2172.0,2150.0,2166.0,15223.0
2015-04-03,2176.0,2192.0,2170.0,2191.0,12083.0
2015-04-06,2201.0,2250.0,2197.0,2233.0,24711.0
2015-04-07,2224.0,2232.0,2202.0,2207.0,23108.0
2015-04-08,2203.0,2204.0,2165.0,2166.0,26849.0
